filename,error_type,speaker_code,native_language,gender,text,g2p_canonical,ipa_perceived,sub_edits,del_edits,add_edits,utt_id,true_sub,true_del,true_add,true_total
sub_9_ABA.wav,substitution,ABA,Arabic,m,clubs and balls and cities grew to be only memories,klʌbzʌndbɔlzʌndsɪtizɡɹutubioʊnlimɛmɝiz,klʌˈbzʌndbɔˈlzʌndsɪˈtizɡɹɔtuˈbiˈoʊˈnlimɛˈmɹiz,2,0,0,arctic_a0020,3,0,0,3
del_0_ABA.wav,deletion,ABA,Arabic,m,it fairly clubbed me into recognizing it,ɪtfɛɹliklʌbdmiɪntuɹɛkʌɡnaɪzɪŋɪt,ɪˈtfɛˈɹliklʌˈbdmiˈɪˈntuɛˈkʌɡnaɪˌzɪŋkɪˈt,0,1,1,arctic_a0021,1,0,1,2
add_1_ABA.wav,addition,ABA,Arabic,m,it fairly clubbed me into recognizing it,ɪtfɛɹliklʌbdmiɪntuɹɛkʌɡnaɪzɪŋɪt,ɪˈtfɛˈɹliklʌˈbdmiˈɪˈntuɛˈkʌɡnaɪˌzɪŋkɪˈt,0,1,1,arctic_a0021,1,0,1,2
sub_10_ABA.wav,substitution,ABA,Arabic,m,hardly were our plans made public before we were met by powerful opposition,hɑɹdliwɝaʊɝplænzmeɪdpʌblɪkbɪfɔɹwiwɝmɛtbaɪpaʊɝfʌlɑpʌzɪʃʌn,hɑˈdliwɛɹaʊˈɹplæˈnzmeɪˈdpʌˈblɪkbiˌfɔˈɹwiˈwɛɹmɛˈtbaɪˈpaʊˈɝfʌlɑˌpʌzɪˈʃʌn,6,1,0,arctic_a0022,3,0,2,5
del_1_ABA.wav,deletion,ABA,Arabic,m,hardly were our plans made public before we were met by powerful opposition,hɑɹdliwɝaʊɝplænzmeɪdpʌblɪkbɪfɔɹwiwɝmɛtbaɪpaʊɝfʌlɑpʌzɪʃʌn,hɑˈdliwɛɹaʊˈɹplæˈnzmeɪˈdpʌˈblɪkbiˌfɔˈɹwiˈwɛɹmɛˈtbaɪˈpaʊˈɝfʌlɑˌpʌzɪˈʃʌn,6,1,0,arctic_a0022,3,0,2,5
sub_11_ABA.wav,substitution,ABA,Arabic,m,a combination of canadian capital quickly organized and petitioned for the same privileges,ʌkɑmbʌneɪʃʌnʌvkʌneɪdiʌnkæpʌtʌlkwɪkliɔɹɡʌnaɪzdʌndpʌtɪʃʌndfɔɹðʌseɪmpɹɪvlʌdʒʌz,ʌkɑˌmbʌneɪˈʃʌnʌˈvkʌneɪˈdiʌnkæˈpɪtʌlkwɪˈkliɔˈɹɡʌnaɪˌzdʌndpʌtɪˈʃʌndfɔˈɹðʌseɪˈmpɹɪˈvlɪdʒɪz,3,0,0,arctic_a0023,3,0,0,3
sub_12_ABA.wav,substitution,ABA,Arabic,m,it was my reports from the north which chiefly induced people to buy,ɪtwɑzmaɪɹɪpɔɹtsfɹʌmðʌnɔɹθwɪtʃtʃifliɪndustpipʌltubaɪ,ɪˈtwɔˈzmaɪˈɹɪpɔˈɹtsfɹʌˈmðʌˈnɔˈɹθhwɪˈtʃtʃiˈfliɪnduˈstpiˈpʌltuˈbaɪˈ,1,0,1,arctic_a0024,3,0,0,3
add_2_ABA.wav,addition,ABA,Arabic,m,it was my reports from the north which chiefly induced people to buy,ɪtwɑzmaɪɹɪpɔɹtsfɹʌmðʌnɔɹθwɪtʃtʃifliɪndustpipʌltubaɪ,ɪˈtwɔˈzmaɪˈɹɪpɔˈɹtsfɹʌˈmðʌˈnɔˈɹθhwɪˈtʃtʃiˈfliɪnduˈstpiˈpʌltuˈbaɪˈ,1,0,1,arctic_a0024,3,0,0,3
sub_13_ABA.wav,substitution,ABA,Arabic,m,i was about to do this when cooler judgment prevailed,aɪwɑzʌbaʊttuduðɪswɛnkulɝdʒʌdʒmʌntpɹɪveɪld,aɪˈwɔˈzʌbaʊˈttuˈduˈðɪˈswɛˈnkuˈlɝdʒʌˈdʒmʌntbɹiveɪˈld,3,0,0,arctic_a0025,2,0,0,2
sub_14_ABA.wav,substitution,ABA,Arabic,m,it occurred to me that there would have to be an accounting,ɪtʌkɝdtumiðætðɛɹwʊdhævtubiænʌkaʊntɪŋ,ɪˈtoʊkɝˈdtuˈmiˈðæˈtðɛˈɹwʊˈdhæˈvtuˈbiæˈnʌkaʊˈntɪŋ,2,0,0,arctic_a0026,2,0,0,2
sub_15_ABA.wav,substitution,ABA,Arabic,m,to my surprise he began to show actual enthusiasm in my favor,tumaɪsɝpɹaɪzhibɪɡæntuʃoʊæktʃʌwʌlɪnθuziæzʌmɪnmaɪfeɪvɝ,tuˈmaɪˈsɝpɹaɪˈzhiˈbiɡæˈntuˈʃoʊˈæˈkʃʌlɪnsuˈsiæˌzʌmɪnmaɪˈfeɪˈvʌ,4,3,0,arctic_a0027,3,0,0,3
del_2_ABA.wav,deletion,ABA,Arabic,m,to my surprise he began to show actual enthusiasm in my favor,tumaɪsɝpɹaɪzhibɪɡæntuʃoʊæktʃʌwʌlɪnθuziæzʌmɪnmaɪfeɪvɝ,tuˈmaɪˈsɝpɹaɪˈzhiˈbiɡæˈntuˈʃoʊˈæˈkʃʌlɪnsuˈsiæˌzʌmɪnmaɪˈfeɪˈvʌ,4,3,0,arctic_a0027,3,0,0,3
sub_16_ABA.wav,substitution,ABA,Arabic,m,robbery bribery fraud,ɹɑbɝibɹaɪbɝifɹɔd,ɹɑˈbɝipɹaɪˈbɝifut,4,0,0,arctic_a0028,3,1,0,4
del_3_ABA.wav,deletion,ABA,Arabic,m,their forces were already moving into the north country,ðɛɹfɔɹsɪzwɝɔlɹɛdimuvɪŋɪntuðʌnɔɹθkʌntɹi,ðɪɛˈɹfɔˈsɪzwɛɹɔɹɛˈdimuˈvɪŋkɪˈntuðʌˈnɔˈɹθkʌˈntɹi,2,2,2,arctic_a0029,1,1,3,5
add_3_ABA.wav,addition,ABA,Arabic,m,their forces were already moving into the north country,ðɛɹfɔɹsɪzwɝɔlɹɛdimuvɪŋɪntuðʌnɔɹθkʌntɹi,ðɪɛˈɹfɔˈsɪzwɛɹɔɹɛˈdimuˈvɪŋkɪˈntuðʌˈnɔˈɹθkʌˈntɹi,2,2,2,arctic_a0029,1,1,3,5
del_4_ABA.wav,deletion,ABA,Arabic,m,they were three hundred yards apart,ðeɪwɝθɹihʌndɹʌdjɑɹdzʌpɑɹt,ðeɪˈwiɝθiˈhʌˈndɹɪdjɑˈdzʌpɑˈɹt,1,2,1,arctic_a0031,3,0,1,4
add_4_ABA.wav,addition,ABA,Arabic,m,they were three hundred yards apart,ðeɪwɝθɹihʌndɹʌdjɑɹdzʌpɑɹt,ðeɪˈwiɝθiˈhʌˈndɹɪdjɑˈdzʌpɑˈɹt,1,2,1,arctic_a0031,3,0,1,4
del_5_ABA.wav,deletion,ABA,Arabic,m,since then some mysterious force has been fighting us at every step,sɪnsðɛnsʌmmɪstɪɹiʌsfɔɹshæzbɪnfaɪtɪŋʌsætɛvɝistɛp,sɪˈnsðɛˈnsʌˈmmaɪstɹɛsfɔˈɹshæˈzbɪˈnfaɪˈtɪŋkʌˈsæˈtɛˈvɹistɛˈp,3,1,2,arctic_a0032,2,2,1,5
add_5_ABA.wav,addition,ABA,Arabic,m,since then some mysterious force has been fighting us at every step,sɪnsðɛnsʌmmɪstɪɹiʌsfɔɹshæzbɪnfaɪtɪŋʌsætɛvɝistɛp,sɪˈnsðɛˈnsʌˈmmaɪstɹɛsfɔˈɹshæˈzbɪˈnfaɪˈtɪŋkʌˈsæˈtɛˈvɹistɛˈp,3,1,2,arctic_a0032,2,2,1,5
add_6_ABA.wav,addition,ABA,Arabic,m,i was the only one who remained sitting,aɪwɑzðʌoʊnliwʌnhuɹɪmeɪndsɪtɪŋ,aɪˈwʌˈzzʌˈoʊˈnliwʌˈnhuˈɹimeɪˈndsɪˈtɪŋk,3,0,1,arctic_a0037,2,0,1,3
add_7_ABA.wav,addition,ABA,Arabic,m,i suppose you wonder why she is coming up here,aɪsʌpoʊzjuwʌndɝwaɪʃiɪzkʌmɪŋʌphiɹ,aɪˈsʌboʊˈzjuˈwʌˈndɝhwaɪˈʃiˈɪˈzkʌˈmɪŋʌˈphiˈɹ,1,0,1,arctic_a0040,1,0,0,1
add_8_ABA.wav,addition,ABA,Arabic,m,the girl faced him her eyes shining with sudden fear,ðʌɡɝlfeɪsthɪmhɝaɪzʃaɪnɪŋwɪðsʌdʌnfɪɹ,ðʌɡɝˈlfeɪˈsthɪˈmhɹaɪˈzʃaɪˈnɪŋkwɪˈðsʌˈdʌnfɪˈɹ,1,0,1,arctic_a0046,2,0,1,3
del_6_ABA.wav,deletion,ABA,Arabic,m,he looked at the handkerchief more closely,hilʊktætðʌhæŋkɝtʃɪfmɔɹkloʊsli,hiˈlʊˈktæˈtðʌhæˈŋdkɝʃifmɔˈɹɡloʊˈzli,3,1,1,arctic_a0048,3,0,1,4
add_9_ABA.wav,addition,ABA,Arabic,m,he looked at the handkerchief more closely,hilʊktætðʌhæŋkɝtʃɪfmɔɹkloʊsli,hiˈlʊˈktæˈtðʌhæˈŋdkɝʃifmɔˈɹɡloʊˈzli,3,1,1,arctic_a0048,3,0,1,4
del_7_ABA.wav,deletion,ABA,Arabic,m,the lace was of a delicate ivory color faintly tinted with yellow,ðʌleɪswɑzʌvʌdɛlʌkʌtaɪvɝikʌlɝfeɪntlitɪntɪdwɪðjɛloʊ,ðʌleɪˈswɔˈzʌˈvʌdɛˈlʌkʌtɪvɔɹikʌˈlɝfeɪˈntlitɪˈntɪdwɪˈðjeɪloʊ,5,1,0,arctic_a0051,3,0,1,4
del_8_ABA.wav,deletion,ABA,Arabic,m,i came for information more out of curiosity than anything else,aɪkeɪmfɔɹɪnfɝmeɪʃʌnmɔɹaʊtʌvkjʊɹiɑsʌtiðænɛniθɪŋɛls,aɪˈkeɪˈmfɔˈɪˌnfɝmeɪˈʃʌnmɔˈɹaʊˈtʌˈvkjʊˌiɛsʌtiðæˈnɛˈniθɪˌŋɡɛˈls,1,2,1,arctic_a0058,2,1,1,4
add_10_ABA.wav,addition,ABA,Arabic,m,i came for information more out of curiosity than anything else,aɪkeɪmfɔɹɪnfɝmeɪʃʌnmɔɹaʊtʌvkjʊɹiɑsʌtiðænɛniθɪŋɛls,aɪˈkeɪˈmfɔˈɪˌnfɝmeɪˈʃʌnmɔˈɹaʊˈtʌˈvkjʊˌiɛsʌtiðæˈnɛˈniθɪˌŋɡɛˈls,1,2,1,arctic_a0058,2,1,1,4
del_9_ABA.wav,deletion,ABA,Arabic,m,his immaculate appearance was gone,hɪzɪmækjulɪtsʌpɪɹʌnswɑzɡɔn,hɪˈzɪmæˈkjuleɪtʌbɪˈɹʌnswɔˈzɡɔˈn,2,1,1,arctic_a0059,3,0,0,3
add_11_ABA.wav,addition,ABA,Arabic,m,his immaculate appearance was gone,hɪzɪmækjulɪtsʌpɪɹʌnswɑzɡɔn,hɪˈzɪmæˈkjuleɪtʌbɪˈɹʌnswɔˈzɡɔˈn,2,1,1,arctic_a0059,3,0,0,3
del_10_ABA.wav,deletion,ABA,Arabic,m,the men stared into each other's face,ðʌmɛnstɛɹdɪntuitʃʌðɝzfeɪs,ðʌmɛˈnsɛˈɹdɪˈntuiˈtʃʌˈðzfeɪˈs,0,2,0,arctic_a0062,2,0,0,2
add_12_ABA.wav,addition,ABA,Arabic,m,yes it was a man who asked a stranger,jɛsɪtwɑzʌmænhuæsktʌstɹeɪndʒɝ,jɛˈsɪtwɔˈzʌmæˈnhuˈæˈskʌtʌstɹeɪˈndʒɝ,1,0,1,arctic_a0063,1,0,1,2
del_11_ABA.wav,deletion,ABA,Arabic,m,they closed now until his fingers were like cords of steel,ðeɪkloʊzdnaʊʌntɪlhɪzfɪŋɡɝzwɝlaɪkkɔɹdzʌvstil,ðeɪˈkloʊˈzdnaʊˈʌntɪˈhɪˈzfɪˈŋɡɝzwɝlaɪˈkkɔˈɹdsʌˈvʌstiˈl,1,1,1,arctic_a0065,2,0,1,3
add_13_ABA.wav,addition,ABA,Arabic,m,they closed now until his fingers were like cords of steel,ðeɪkloʊzdnaʊʌntɪlhɪzfɪŋɡɝzwɝlaɪkkɔɹdzʌvstil,ðeɪˈkloʊˈzdnaʊˈʌntɪˈhɪˈzfɪˈŋɡɝzwɝlaɪˈkkɔˈɹdsʌˈvʌstiˈl,1,1,1,arctic_a0065,2,0,1,3
del_12_ABA.wav,deletion,ABA,Arabic,m,surely i will excuse you she cried,ʃʊɹliaɪwɪlɪkskjuzjuʃikɹaɪd,ʃʊˈɹliaɪˈwɪˈlɪksʌkjuˈzjuˈʃiˈkaɪˈd,0,1,1,arctic_a0067,1,0,1,2
add_14_ABA.wav,addition,ABA,Arabic,m,surely i will excuse you she cried,ʃʊɹliaɪwɪlɪkskjuzjuʃikɹaɪd,ʃʊˈɹliaɪˈwɪˈlɪksʌkjuˈzjuˈʃiˈkaɪˈd,0,1,1,arctic_a0067,1,0,1,2
del_13_ABA.wav,deletion,ABA,Arabic,m,what was the object of your little sensation,wʌtwɑzðʌʌbdʒɛktʌvjɔɹlɪtʌlsɛnseɪʃʌn,wʌˈtwɔˈzðʌˈɑˈbʒɛktʌˈvjʊˈlɪˈtʌsɛnseɪˈʃʌn,4,2,0,arctic_a0071,3,0,0,3
del_14_ABA.wav,deletion,ABA,Arabic,m,the promoter's eyes were heavy with little puffy bags under them,ðʌpɹʌmoʊtɝzaɪzwɝhɛviwɪðlɪtʌlpʌfibæɡzʌndɝðɛm,ðʌˈbɹumitɝzaɪˈzwɝhɛˈviwɪˈðlɪˈtʌpʌˈfibɑɡsʌˈndɹðɛˈm,7,1,0,arctic_a0073,8,0,0,8
del_15_ABA.wav,deletion,ABA,Arabic,m,there has been a change she interrupted him,ðɛɹhæzbɪnʌtʃeɪndʒʃiɪntɝʌptɪdhɪm,ðɛˈhæˈzbɪˈnʌtʃeɪˈndʒʃiˈɪˌndɝʌˈptɪdhɪˈm,1,1,0,arctic_a0075,1,1,0,2
del_16_ABA.wav,deletion,ABA,Arabic,m,then and at supper he tried to fathom her,ðɛnʌndætsʌpɝhitɹaɪdtufæðʌmhɝ,ðɛˈnʌndæˈtsʌˈpɝhiˈtɹɔɪdtuˈfæˈθʌmh,2,1,0,arctic_a0078,4,0,0,4
add_15_ABA.wav,addition,ABA,Arabic,m,his face was streaming with blood,hɪzfeɪswɑzstɹimɪŋwɪðblʌd,hɪˈzfeɪˈswɔˈzstɹiˈmɪŋkwɪˈðblʌˈt,2,0,1,arctic_a0082,2,0,1,3
add_16_ABA.wav,addition,ABA,Arabic,m,a trickle of fresh blood ran over his face,ʌtɹɪkʌlʌvfɹɛʃblʌdɹænoʊvɝhɪzfeɪs,ʌtɹɪˈkʌʌˈvfɹɛˈʃblʌˈdəɹæˈnoʊˈvɝhɪzfeɪˈs,0,1,1,arctic_a0085,2,0,1,3
sub_17_LXC.wav,substitution,LXC,Chinese,f,for the twentieth time that evening the two men shook hands,fɔɹðʌtwɛntiʌθtaɪmðætivnɪŋðʌtumɛnʃʊkhændz,fɹɝðʌtwɑˈntiɪstaɪˈmdæˈtiˈvʌnɪŋlʌtuˈmɛˈnʃɔˈkhɛˈns,9,1,2,arctic_a0003,7,0,1,8
del_17_LXC.wav,deletion,LXC,Chinese,f,for the twentieth time that evening the two men shook hands,fɔɹðʌtwɛntiʌθtaɪmðætivnɪŋðʌtumɛnʃʊkhændz,fɹɝðʌtwɑˈntiɪstaɪˈmdæˈtiˈvʌnɪŋlʌtuˈmɛˈnʃɔˈkhɛˈns,9,1,2,arctic_a0003,7,0,1,8
add_17_LXC.wav,addition,LXC,Chinese,f,for the twentieth time that evening the two men shook hands,fɔɹðʌtwɛntiʌθtaɪmðætivnɪŋðʌtumɛnʃʊkhændz,fɹɝðʌtwɑˈntiɪstaɪˈmdæˈtiˈvʌnɪŋlʌtuˈmɛˈnʃɔˈkhɛˈns,9,1,2,arctic_a0003,7,0,1,8
sub_18_LXC.wav,substitution,LXC,Chinese,f,will we ever forget it,wɪlwiɛvɝfɝɡɛtɪt,wɪˈwwiˈæˈvʌfɝɡɛˈtiˈt,4,0,0,arctic_a0005,4,0,0,4
sub_19_LXC.wav,substitution,LXC,Chinese,f,god bless em i hope i'll go on seeing them forever,ɡɑdblɛsɛmaɪhoʊpaɪlɡoʊɑnsiɪŋðɛmfɝɛvɝ,ɡɑˈdblɛˈsmaɪˈhoʊˈpaɪˈwɪwɡoʊˈɔˈnsiˈɪŋðɛˈmfʌæˈvʌ,7,1,0,arctic_a0006,4,1,2,7
del_18_LXC.wav,deletion,LXC,Chinese,f,god bless em i hope i'll go on seeing them forever,ɡɑdblɛsɛmaɪhoʊpaɪlɡoʊɑnsiɪŋðɛmfɝɛvɝ,ɡɑˈdblɛˈsmaɪˈhoʊˈpaɪˈwɪwɡoʊˈɔˈnsiˈɪŋðɛˈmfʌæˈvʌ,7,1,0,arctic_a0006,4,1,2,7
sub_20_LXC.wav,substitution,LXC,Chinese,f,and you always want to see it in the superlative degree,ʌndjuɔlweɪzwɑnttusiɪtɪnðʌsʊpɝlʌtɪvdɪɡɹi,æˈndjuˈɔˈlwizwɑˈnttʌsiˈɪˈtɪˈŋnʌsʊpʌlaɪˈtɪpdɪɡɹiˈ,8,1,1,arctic_a0007,5,0,0,5
del_19_LXC.wav,deletion,LXC,Chinese,f,and you always want to see it in the superlative degree,ʌndjuɔlweɪzwɑnttusiɪtɪnðʌsʊpɝlʌtɪvdɪɡɹi,æˈndjuˈɔˈlwizwɑˈnttʌsiˈɪˈtɪˈŋnʌsʊpʌlaɪˈtɪpdɪɡɹiˈ,8,1,1,arctic_a0007,5,0,0,5
add_18_LXC.wav,addition,LXC,Chinese,f,and you always want to see it in the superlative degree,ʌndjuɔlweɪzwɑnttusiɪtɪnðʌsʊpɝlʌtɪvdɪɡɹi,æˈndjuˈɔˈlwizwɑˈnttʌsiˈɪˈtɪˈŋnʌsʊpʌlaɪˈtɪpdɪɡɹiˈ,8,1,1,arctic_a0007,5,0,0,5
sub_21_LXC.wav,substitution,LXC,Chinese,f,gad your letter came just in time,ɡædjɔɹlɛtɝkeɪmdʒʌstɪntaɪm,ɡæˈdjʊˈlæˈtɝkeɪˈmdʒʌˈsɪˈŋtaɪˈm,4,1,0,arctic_a0008,2,2,0,4
del_20_LXC.wav,deletion,LXC,Chinese,f,gad your letter came just in time,ɡædjɔɹlɛtɝkeɪmdʒʌstɪntaɪm,ɡæˈdjʊˈlæˈtɝkeɪˈmdʒʌˈsɪˈŋtaɪˈm,4,1,0,arctic_a0008,2,2,0,4
sub_22_LXC.wav,substitution,LXC,Chinese,f,i'm playing a single hand in what looks like a losing game,aɪmpleɪɪŋʌsɪŋɡʌlhændɪnwʌtlʊkslaɪkʌluzɪŋɡeɪm,aɪˈmpleɪˈɪŋʌsɪˈŋɡoʊhæˈnɪˈŋwʌˈtlʊˈklɑˈsʌluˈsɪŋɡeɪˈŋ,5,5,2,arctic_a0010,6,3,0,9
del_21_LXC.wav,deletion,LXC,Chinese,f,i'm playing a single hand in what looks like a losing game,aɪmpleɪɪŋʌsɪŋɡʌlhændɪnwʌtlʊkslaɪkʌluzɪŋɡeɪm,aɪˈmpleɪˈɪŋʌsɪˈŋɡoʊhæˈnɪˈŋwʌˈtlʊˈklɑˈsʌluˈsɪŋɡeɪˈŋ,5,5,2,arctic_a0010,6,3,0,9
add_19_LXC.wav,addition,LXC,Chinese,f,i'm playing a single hand in what looks like a losing game,aɪmpleɪɪŋʌsɪŋɡʌlhændɪnwʌtlʊkslaɪkʌluzɪŋɡeɪm,aɪˈmpleɪˈɪŋʌsɪˈŋɡoʊhæˈnɪˈŋwʌˈtlʊˈklɑˈsʌluˈsɪŋɡeɪˈŋ,5,5,2,arctic_a0010,6,3,0,9
sub_23_LXC.wav,substitution,LXC,Chinese,f,if i ever needed a fighter in my life i need one now,ɪfaɪɛvɝnidʌdʌfaɪtɝɪnmaɪlaɪfaɪnidwʌnnaʊ,ɪˈfaɪˈæˈwʌniˈdɪdʌfaɪˈtʌɪˈŋmaɪˈlaɪˈfaɪˈniˈdwʌˈnnaʊˈ,6,0,0,arctic_a0011,5,0,0,5
sub_24_LXC.wav,substitution,LXC,Chinese,f,he was a head shorter than his companion of almost delicate physique,hiwɑzʌhɛdʃɔɹtɝðænhɪzkʌmpænjʌnʌvɔlmoʊstdɛlʌkʌtfʌzik,hiˈwʌˈsʌhæˈdʃɔˈtʌlæˈnhiskʌmpæˈnjʌnʌˈvɔˈmoʊˌstdɛˈlʌkʌtfiˈsik,9,2,0,arctic_a0013,10,2,0,12
del_22_LXC.wav,deletion,LXC,Chinese,f,he was a head shorter than his companion of almost delicate physique,hiwɑzʌhɛdʃɔɹtɝðænhɪzkʌmpænjʌnʌvɔlmoʊstdɛlʌkʌtfʌzik,hiˈwʌˈsʌhæˈdʃɔˈtʌlæˈnhiskʌmpæˈnjʌnʌˈvɔˈmoʊˌstdɛˈlʌkʌtfiˈsik,9,2,0,arctic_a0013,10,2,0,12
sub_25_LXC.wav,substitution,LXC,Chinese,f,there was a change now,ðɛɹwɑzʌtʃeɪndʒnaʊ,ðɛˈʌwʌˈsʌtʃeɪˈntʃnaʊˈ,5,0,0,arctic_a0018,3,0,0,3
sub_26_LXC.wav,substitution,LXC,Chinese,f,i followed the line of the proposed railroad looking for chances,aɪfɑloʊdðʌlaɪnʌvðʌpɹʌpoʊzdɹeɪlɹoʊdlʊkɪŋfɔɹtʃænsʌz,aɪˈfɑˈloʊdðʌlʌlaɪˈnʌˈvlʌˈpɹɔˈpɹoʊˈstɹeɪˈwɹoʊˌdlʊˈkɪŋfɔˈtʃæˈnsɪs,7,1,3,arctic_a0019,6,1,3,10
del_23_LXC.wav,deletion,LXC,Chinese,f,i followed the line of the proposed railroad looking for chances,aɪfɑloʊdðʌlaɪnʌvðʌpɹʌpoʊzdɹeɪlɹoʊdlʊkɪŋfɔɹtʃænsʌz,aɪˈfɑˈloʊdðʌlʌlaɪˈnʌˈvlʌˈpɹɔˈpɹoʊˈstɹeɪˈwɹoʊˌdlʊˈkɪŋfɔˈtʃæˈnsɪs,7,1,3,arctic_a0019,6,1,3,10
add_20_LXC.wav,addition,LXC,Chinese,f,i followed the line of the proposed railroad looking for chances,aɪfɑloʊdðʌlaɪnʌvðʌpɹʌpoʊzdɹeɪlɹoʊdlʊkɪŋfɔɹtʃænsʌz,aɪˈfɑˈloʊdðʌlʌlaɪˈnʌˈvlʌˈpɹɔˈpɹoʊˈstɹeɪˈwɹoʊˌdlʊˈkɪŋfɔˈtʃæˈnsɪs,7,1,3,arctic_a0019,6,1,3,10
sub_27_LXC.wav,substitution,LXC,Chinese,f,clubs and balls and cities grew to be only memories,klʌbzʌndbɔlzʌndsɪtizɡɹutubioʊnlimɛmɝiz,klʌˈpsʌnʌbɔˈsæˈnʌsiˈtisɡɹuˈtʌbiɔˈŋlimæˈmɝis,14,2,0,arctic_a0020,11,1,0,12
del_24_LXC.wav,deletion,LXC,Chinese,f,clubs and balls and cities grew to be only memories,klʌbzʌndbɔlzʌndsɪtizɡɹutubioʊnlimɛmɝiz,klʌˈpsʌnʌbɔˈsæˈnʌsiˈtisɡɹuˈtʌbiɔˈŋlimæˈmɝis,14,2,0,arctic_a0020,11,1,0,12
sub_28_LXC.wav,substitution,LXC,Chinese,f,it fairly clubbed me into recognizing it,ɪtfɛɹliklʌbdmiɪntuɹɛkʌɡnaɪzɪŋɪt,ɪˈtfɛˈliklʌˈbdmiˈɪˈntuɹɛˈkʌɡnaɪˌsɪŋiˈt,2,1,0,arctic_a0021,2,1,0,3
del_25_LXC.wav,deletion,LXC,Chinese,f,it fairly clubbed me into recognizing it,ɪtfɛɹliklʌbdmiɪntuɹɛkʌɡnaɪzɪŋɪt,ɪˈtfɛˈliklʌˈbdmiˈɪˈntuɹɛˈkʌɡnaɪˌsɪŋiˈt,2,1,0,arctic_a0021,2,1,0,3
